transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
180,11/05/2022,10:47:00,117,Male,41,Clothing,3,300,129,900
522,07/09/2022,11:00:00,52,Male,46,Beauty,3,500,145,1500
559,12/12/2022,10:48:00,5,Female,40,Clothing,4,300,84,1200
1180,01/06/2022,08:53:00,85,Male,41,Clothing,3,300,129,900
1522,11/14/2022,08:35:00,48,Male,46,Beauty,3,500,235,1500
1559,08/20/2022,07:40:00,49,Female,40,Clothing,4,300,144,1200
163,10/31/2022,09:38:00,144,Female,64,Clothing,3,50,23,150
303,04/22/2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90
421,04/08/2022,08:43:00,66,Female,37,Clothing,3,500,235,1500
979,05/18/2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25
1163,05/04/2022,10:52:00,120,Female,64,Clothing,3,50,27,150
1303,03/19/2022,08:59:00,58,Male,19,Electronics,3,30,15,90
1421,01/17/2022,07:07:00,59,Female,37,Clothing,3,500,185,1500
1979,08/17/2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25
610,12/18/2022,06:56:00,137,Female,26,Beauty,2,300,93,600
1610,11/23/2022,10:18:00,1,Female,26,Beauty,2,300,102,600
32,07/16/2022,09:11:00,150,Male,30,Beauty,3,30,8.4,90
231,07/09/2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150
683,03/06/2022,10:22:00,82,Male,38,Beauty,2,500,175,1000
1032,04/01/2022,08:15:00,1,Male,30,Beauty,3,30,10.5,90
1231,01/29/2022,07:05:00,12,Female,23,Clothing,3,50,23,150
1683,05/04/2022,07:19:00,98,Male,38,Beauty,2,500,220,1000
367,12/30/2022,07:03:00,123,Female,57,Electronics,1,50,18,50
391,03/25/2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50
432,03/10/2022,11:31:00,17,Female,,Electronics,2,500,190,1000
1367,04/15/2022,11:38:00,16,Female,,Electronics,1,50,15.5,50
1391,03/01/2022,11:29:00,130,Male,,Beauty,2,25,9.25,50
1432,12/25/2022,06:24:00,67,Female,,Electronics,2,500,245,1000
150,04/13/2022,08:25:00,89,Female,,Electronics,4,30,16.2,120
